mnemonic,operands,extension,latency_cycles,throughput_cycles,category
MOVD,mm,r32/r32,mm,MMX,1.6827,0.5779,mmx_move
MOVD,r32,mm,MMX,-1.0000,0.4808,mmx_move
MOVQ,mm,mm,MMX,0.2538,0.6410,mmx_move
PADDB,mm,mm,MMX,0.0151,0.7777,mmx_arith
PADDW,mm,mm,MMX,0.0151,0.8129,mmx_arith
PADDD,mm,mm,MMX,0.0151,0.8074,mmx_arith
PSUBB,mm,mm,MMX,0.0151,0.8349,mmx_arith
PSUBW,mm,mm,MMX,0.0151,0.7843,mmx_arith
PSUBD,mm,mm,MMX,0.0151,0.7821,mmx_arith
PADDUSB,mm,mm,MMX,0.9623,0.7954,mmx_arith
PADDUSW,mm,mm,MMX,0.9912,0.7915,mmx_arith
PADDSB,mm,mm,MMX,0.9624,0.7813,mmx_arith
PADDSW,mm,mm,MMX,1.0707,0.7853,mmx_arith
PMULLW,mm,mm,MMX,0.0152,0.7851,mmx_mul
PMULHW,mm,mm,MMX,1.4493,0.6724,mmx_mul
PMADDWD,mm,mm,MMX,1.4423,0.6770,mmx_mul
PAND,mm,mm,MMX,0.0152,0.7247,mmx_logic
PANDN,mm,mm,MMX,0.1057,0.7377,mmx_logic
POR,mm,mm,MMX,0.0152,0.7545,mmx_logic
PXOR,mm,mm,MMX,0.0152,0.7319,mmx_logic
PSLLW,mm,$3,MMX,0.0153,0.9344,mmx_shift
PSLLD,mm,$7,MMX,0.0153,0.9616,mmx_shift
PSLLQ,mm,$11,MMX,0.0152,0.7803,mmx_shift
PSRLW,mm,$3,MMX,0.0152,0.7850,mmx_shift
PSRLD,mm,$7,MMX,0.0152,0.7850,mmx_shift
PSRLQ,mm,$11,MMX,0.0152,0.8489,mmx_shift
PSRAW,mm,$3,MMX,0.0152,0.6645,mmx_shift
PSRAD,mm,$7,MMX,0.0152,0.9297,mmx_shift
PCMPEQB,mm,mm,MMX,0.4831,0.7851,mmx_cmp
PCMPEQW,mm,mm,MMX,0.5087,0.7850,mmx_cmp
PCMPEQD,mm,mm,MMX,0.0000,0.7850,mmx_cmp
PCMPGTB,mm,mm,MMX,0.0001,0.7851,mmx_cmp
PCMPGTW,mm,mm,MMX,0.0000,0.8363,mmx_cmp
PCMPGTD,mm,mm,MMX,0.0001,0.7853,mmx_cmp
PUNPCKHBW,mm,mm,MMX,0.0000,0.8454,mmx_shuf
PUNPCKHWD,mm,mm,MMX,0.0000,0.8595,mmx_shuf
PUNPCKHDQ,mm,mm,MMX,0.0000,0.7379,mmx_shuf
PUNPCKLBW,mm,mm,MMX,0.0680,0.7851,mmx_shuf
PUNPCKLWD,mm,mm,MMX,0.0429,0.7854,mmx_shuf
PUNPCKLDQ,mm,mm,MMX,0.0152,1.1602,mmx_shuf
PACKUSWB,mm,mm,MMX,1.6027,0.8210,mmx_pack
PACKSSWB,mm,mm,MMX,1.5326,0.8398,mmx_pack
PACKSSDW,mm,mm,MMX,1.5513,0.8291,mmx_pack
EMMS,,MMX,-1.0000,0.1210,mmx_misc
EXTRQ,xmm,$8,$0,SSE4a,1.4596,0.3313,sse4a
INSERTQ,xmm,xmm,$8,$0,SSE4a,1.6178,0.3311,sse4a
MOVNTSS,[m32],xmm,SSE4a,-1.0000,0.4897,sse4a_nt
MOVNTSD,[m64],xmm,SSE4a,-1.0000,25.9926,sse4a_nt
PCMPESTRI,xmm,xmm,$0C,SSE4.2,1.4784,0.0889,str_cmp
PCMPESTRI,xmm,xmm,$4C,SSE4.2,1.4219,-1.0000,str_cmp
PCMPESTRM,xmm,xmm,$0C,SSE4.2,1.4368,0.0893,str_cmp
PCMPISTRI,xmm,xmm,$0C,SSE4.2,0.9528,0.1191,str_cmp
PCMPISTRI,xmm,xmm,$4C,SSE4.2,0.9525,-1.0000,str_cmp
PCMPISTRM,xmm,xmm,$0C,SSE4.2,1.0788,0.0900,str_cmp
PCMPISTRM,xmm,xmm,$4C,SSE4.2,0.9572,-1.0000,str_cmp
CRC32,r32,r8,SSE4.2,1.4365,0.4787,crc
CRC32,r32,r16,SSE4.2,1.4357,0.4918,crc
CRC32,r32,r32,SSE4.2,1.4354,0.4785,crc
CRC32,r64,r64,SSE4.2,1.4369,0.4921,crc
DPPD,xmm,xmm,$31,SSE4.1,3.4018,1.4492,fp_dot
DPPD,xmm,xmm,$33,SSE4.1,3.3646,1.4296,fp_dot
PSIGNB,xmm,xmm,SSSE3,0.9782,0.2675,ssse3_sign
PSIGNW,xmm,xmm,SSSE3,0.9606,0.2392,ssse3_sign
PSIGND,xmm,xmm,SSSE3,0.9538,0.2452,ssse3_sign
PABSB,xmm,xmm,SSSE3,0.0000,0.2395,ssse3_abs
PABSW,xmm,xmm,SSSE3,0.0000,0.2395,ssse3_abs
PABSD,xmm,xmm,SSSE3,0.0001,0.2393,ssse3_abs
PHMINPOSUW,xmm,xmm,SSE4.1,1.4626,0.2394,sse41_hmin
VFMADDSUBPS,ymm,ymm,ymm,FMA,1.9317,0.2564,fma_addsub
VFMADDSUBPD,ymm,ymm,ymm,FMA,1.9168,0.2568,fma_addsub
VFMSUBADDPS,ymm,ymm,ymm,FMA,2.0002,0.2564,fma_addsub
VFMSUBADDPD,ymm,ymm,ymm,FMA,1.9141,0.2568,fma_addsub
VFMSUBPS,ymm,ymm,ymm,FMA,0.0000,0.2564,fma_sub
VFMSUBPD,ymm,ymm,ymm,FMA,0.0001,0.2564,fma_sub
VFNMADDPS,ymm,ymm,ymm,FMA,1.9534,0.2565,fma_neg
VFNMADDPD,ymm,ymm,ymm,FMA,1.9279,0.2559,fma_neg
VFNMSUBPS,ymm,ymm,ymm,FMA,0.0000,0.2643,fma_neg
VFNMSUBPD,ymm,ymm,ymm,FMA,0.0001,0.2559,fma_neg
VFMSUBSS,xmm,xmm,xmm,FMA,2.0267,0.3745,fma_scalar
VFMSUBSD,xmm,xmm,xmm,FMA,1.9630,0.3731,fma_scalar
ADDPS,xmm,xmm(legacy),legacy,1.4526,1.4625,vex_cmp
VADDPS,xmm,xmm(VEX),VEX,1.4777,0.2420,vex_cmp
MULPS,xmm,xmm(legacy),legacy,1.4499,1.4819,vex_cmp
VMULPS,xmm,xmm(VEX),VEX,1.4533,0.2397,vex_cmp
PADDD,xmm,xmm(legacy),legacy,0.4794,0.4793,vex_cmp
VPADDD,xmm,xmm(VEX),VEX,0.5049,0.1267,vex_cmp
PMULLW,xmm,xmm(legacy),legacy,1.4299,1.4384,vex_cmp
VPMULLW,xmm,xmm(VEX),VEX,1.4734,0.2419,vex_cmp
